index,Song,Artist,Gender,Album,Date,URL,Profanities
132,Hate to See Me Have Shit,11-מאי,?M,A-1 Yola,1996, http://ohhla.com/anonymous/eleven_5/a1_yola/hate_to.115.txt,"{'nigga': 8, 'ass': 2, 'fucka': 1, 'bitches': 3, 'hell': 1, 'bitch': 3, 'dead': 1, 'assassin': 1, 'shit': 3, 'criminal': 1}"
134,Garcia Vegas,11-מאי,?M,Fiendin 4 Tha Funk,1995, http://ohhla.com/anonymous/eleven_5/fiendin/garcia.115.txt,"{'motherfuckin': 3, 'nigga': 4, 'bitches': 1, 'pimp': 1, 'fuck': 1, 'bitch': 4, 'hoes': 2, 'drunk': 1, 'gin': 1, 'fuckin': 1, 'pistol': 1, 'bomb': 1, 'ho': 1, 'die': 1, 'damn': 1, 'shit': 1}"
135,Blockstyle Murderah,11-מאי,?M,The Overdose,2000, http://ohhla.com/anonymous/eleven_5/overdose/murderah.115.txt,"{'bitches': 1, 'shit': 1, 'bitch': 1, 'drunk': 1, 'ass': 1, 'drug': 1}"
201,First We Pray,NATE DOGG,?M,G-Funk Classics Vol. 1,1997, http://ohhla.com/anonymous/natedogg/g_funk/we_pray.ndg.txt,"{'kill': 1, 'niggaz': 4, 'die': 1, 'died': 1, 'spit': 1, 'nigga': 1, 'shit': 2}"
202,(If This Were) My World,NATE DOGG,?M,G-Funk Classics Vol. 1,1997, http://ohhla.com/anonymous/natedogg/g_funk/if_this.ndg.txt,"{'screw': 1, 'black': 1, 'gangsta': 2, 'niggaz': 1}"
205,Bag O' Weed,NATE DOGG,?M,G-Funk Classics Vol. 1,1997, http://ohhla.com/anonymous/natedogg/g_funk/bagoweed.ndg.txt,"{'bitch': 1, 'titties': 1, 'spit': 1, 'gangsta': 1, 'shit': 1, 'cum': 1, 'damn': 1, 'fat': 1, 'ass': 2}"
206,Dirty Ho's Draw,NATE DOGG,?M,G-Funk Classics Vol. 1,1997, http://ohhla.com/anonymous/natedogg/g_funk/dirtyhos.ndg.txt,"{'hell': 1, 'dirty': 4, 'hoes': 1, 'nigga': 2, 'niggaz': 1, 'pussy': 1}"
207,Scared of Love,NATE DOGG,?M,G-Funk Classics Vol. 1,1997, http://ohhla.com/anonymous/natedogg/g_funk/scared.ndg.txt,{'screw': 1}
209,B-Cuz I Got A Girl,NATE DOGG,?M,G-Funk Classics Vol. 1,1997, http://ohhla.com/anonymous/natedogg/g_funk/b_cuz.ndg.txt,"{'bitches': 4, 'shit': 1, 'niggaz': 1, 'bitch': 1, 'nigga': 1}"
210,I'm Gonna Make My Money,NATE DOGG,?M,G-Funk Classics Vol. 1,1997, http://ohhla.com/anonymous/natedogg/g_funk/money.ndg.txt,{'gangsta': 1}
