index,Song,Artist,Gender,Album,Date,URL,Profanities
0,Amina,FABABY,M,Ange Et Demon,, http://ohhla.com/anonymous/fababy/angdemon/amina.fab.txt,{'black': 1}
1,Ange & Demon,FABABY,M,Ange Et Demon,, http://ohhla.com/anonymous/fababy/angdemon/angdemon.fab.txt,{}
2,Donne-Moi,FABABY,M,Ange Et Demon,, http://ohhla.com/anonymous/fababy/angdemon/donnemoi.fab.txt,{}
3,Encore Pris,FABABY,M,Ange Et Demon,, http://ohhla.com/anonymous/fababy/angdemon/encorpris.fab.txt,{'violence': 2}
4,Evil,FABABY,M,Ange Et Demon,, http://ohhla.com/anonymous/fababy/angdemon/evil.fab.txt,{}
5,Film Noir,FABABY,M,Ange Et Demon,, http://ohhla.com/anonymous/fababy/angdemon/filmnoir.fab.txt,{}
6,Fleur Du Mal,FABABY,M,Ange Et Demon,, http://ohhla.com/anonymous/fababy/angdemon/fleur_du.fab.txt,{}
7,I Miss You,FABABY,M,Ange Et Demon,, http://ohhla.com/anonymous/fababy/angdemon/imissyou.fab.txt,{}
8,Intro: Mam's,FABABY,M,Ange Et Demon,, http://ohhla.com/anonymous/fababy/angdemon/intromam.fab.txt,{'nigga': 1}
9,La Mala,FABABY,M,Ange Et Demon,, http://ohhla.com/anonymous/fababy/angdemon/la_mala.fab.txt,{}
10,Love D'un Voyou,FABABY,M,Ange Et Demon,, http://ohhla.com/anonymous/fababy/angdemon/love_dun.fab.txt,{}
11,Ma Petite,FABABY,M,Ange Et Demon,, http://ohhla.com/anonymous/fababy/angdemon/mapetite.fab.txt,{}
12,93 Negro,FABABY,M,La Force Du Nombre,, http://ohhla.com/anonymous/fababy/la_force/93_negro.fab.txt,{'violence': 2}
13,Boys'N Ladies,FABABY,M,La Force Du Nombre,, http://ohhla.com/anonymous/fababy/la_force/boys_n.fab.txt,{}
14,Dans Mon Monde,FABABY,M,La Force Du Nombre,, http://ohhla.com/anonymous/fababy/la_force/dans_mon.fab.txt,{}
15,Dites-Moi,FABABY,M,La Force Du Nombre,, http://ohhla.com/anonymous/fababy/la_force/ditesmoi.fab.txt,{}
16,Entre Nous,FABABY,M,La Force Du Nombre,, http://ohhla.com/anonymous/fababy/la_force/entrenou.fab.txt,{}
17,Envoie Les Billets,FABABY *,M,La Force Du Nombre,, http://ohhla.com/anonymous/fababy/la_force/envoie.fab.txt,"{'die': 1, 'negro': 1, 'cocaine': 1}"
18,Femme Qui Se Donne,FABABY,M,La Force Du Nombre,, http://ohhla.com/anonymous/fababy/la_force/femmequi.fab.txt,{'porno': 1}
19,Idemeuh,FABABY,M,La Force Du Nombre,, http://ohhla.com/anonymous/fababy/la_force/idemeuh.fab.txt,"{'dead': 1, 'violence': 1}"
20,Intro: Flingue Au Berceau,FABABY,M,La Force Du Nombre,, http://ohhla.com/anonymous/fababy/la_force/introfli.fab.txt,"{'muslim': 1, 'violence': 1, 'fuck': 1}"
21,J'suis Nostalgique,FABABY,M,La Force Du Nombre,, http://ohhla.com/anonymous/fababy/la_force/jsuisnos.fab.txt,{'porno': 1}
22,Le Jour Se Leve,FABABY,M,La Force Du Nombre,, http://ohhla.com/anonymous/fababy/la_force/lejourse.fab.txt,"{'violence': 1, 'dead': 1}"
23,Maintenant,FABABY,M,La Force Du Nombre,, http://ohhla.com/anonymous/fababy/la_force/maintena.fab.txt,{'negro': 1}
24,Avec La Haine,FABABY,M,La Symphonie Des Chargeurs (Mixtape),, http://ohhla.com/anonymous/fababy/la_symph/avec_hai.fab.txt,{}
25,Baby Baby No More,FABABY,M,La Symphonie Des Chargeurs (Mixtape),, http://ohhla.com/anonymous/fababy/la_symph/babybaby.fab.txt,{'fuck': 1}
26,Crie 93,FABABY,M,La Symphonie Des Chargeurs (Mixtape),, http://ohhla.com/anonymous/fababy/la_symph/crie_93.fab.txt,{'violence': 3}
27,Demande a...,FABABY,M,La Symphonie Des Chargeurs (Mixtape),, http://ohhla.com/anonymous/fababy/la_symph/demandea.fab.txt,{}
28,Flingue Dans La Bouche,FABABY,M,La Symphonie Des Chargeurs (Mixtape),, http://ohhla.com/anonymous/fababy/la_symph/flingue.fab.txt,{}
29,La Symphonie Des Chargeurs,FABABY,M,La Symphonie Des Chargeurs (Mixtape),, http://ohhla.com/anonymous/fababy/la_symph/la_symph.fab.txt,"{'violence': 1, 'die': 1}"
30,Mal a Dire,FABABY,M,La Symphonie Des Chargeurs (Mixtape),, http://ohhla.com/anonymous/fababy/la_symph/maladire.fab.txt,{'violence': 1}
31,"May Day, May Day",FABABY,M,La Symphonie Des Chargeurs (Mixtape),, http://ohhla.com/anonymous/fababy/la_symph/may_day.fab.txt,{}
32,Mere Seule,FABABY,M,La Symphonie Des Chargeurs (Mixtape),, http://ohhla.com/anonymous/fababy/la_symph/merseule.fab.txt,{'tard': 4}
